ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put,befolkning
2007,Alna,ytre øst,østkant,59,11,44820
2007,Bjerke,ytre øst,østkant,29,3,25530
2007,Frogner,indre vest,vestkant,78,10,46768
2007,Gamle Oslo,indre øst,østkant,94,12,37717
2007,Grorud,ytre øst,østkant,35,3,25359
2007,Grünerløkka,indre øst,østkant,61,3,40405
2007,Nordre Aker,ytre vest,vestkant,59,5,42692
2007,Nordstrand,ytre vest,vestkant,53,10,44423
2007,Sagene,indre øst,østkant,50,4,31428
2007,St. Hanshaugen,indre vest,vestkant,80,13,29082
2007,Stovner,ytre øst,østkant,35,1,28936
2007,Søndre Nordstrand,ytre øst,østkant,39,6,34444
2007,Ullern,ytre vest,vestkant,33,5,28331
2007,Vestre Aker,ytre vest,vestkant,53,3,41302
2007,Østensjø,ytre øst,østkant,44,7,44036
2007,NA,NA,NA,4,1,NA
2009,Alna,ytre øst,østkant,30,7,46029
2009,Bjerke,ytre øst,østkant,12,0,26863
2009,Frogner,indre vest,vestkant,36,8,49058
2009,Gamle Oslo,indre øst,østkant,29,6,41452
2009,Grorud,ytre øst,østkant,17,0,26020
2009,Grünerløkka,indre øst,østkant,27,3,43960
2009,Nordre Aker,ytre vest,vestkant,21,0,45024
2009,Nordstrand,ytre vest,vestkant,28,5,45710
2009,Sagene,indre øst,østkant,17,4,33631
2009,St. Hanshaugen,indre vest,vestkant,21,3,31550
2009,Stovner,ytre øst,østkant,16,1,29651
2009,Søndre Nordstrand,ytre øst,østkant,19,3,35258
2009,Ullern,ytre vest,vestkant,16,2,29839
2009,Vestre Aker,ytre vest,vestkant,28,4,42756
2009,Østensjø,ytre øst,østkant,18,1,45042
2009,NA,NA,NA,47,5,NA
2011,Alna,ytre øst,østkant,49,9,47025
2011,Bjerke,ytre øst,østkant,32,3,28226
2011,Frogner,indre vest,vestkant,64,11,51120
2011,Gamle Oslo,indre øst,østkant,64,7,43770
2011,Grorud,ytre øst,østkant,34,4,26291
2011,Grünerløkka,indre øst,østkant,50,5,47255
2011,Nordre Aker,ytre vest,vestkant,46,2,47433
2011,Nordstrand,ytre vest,vestkant,35,5,46888
2011,Sagene,indre øst,østkant,43,5,35115
2011,St. Hanshaugen,indre vest,vestkant,59,11,33137
2011,Stovner,ytre øst,østkant,24,3,30178
2011,Søndre Nordstrand,ytre øst,østkant,33,5,35843
2011,Ullern,ytre vest,vestkant,32,8,30744
2011,Vestre Aker,ytre vest,vestkant,42,3,44320
2011,Østensjø,ytre øst,østkant,43,4,46244
2011,NA,NA,NA,4,1,NA
2013,Alna,ytre øst,østkant,31,7,48062
2013,Bjerke,ytre øst,østkant,13,2,29617
2013,Frogner,indre vest,vestkant,38,8,53573
2013,Gamle Oslo,indre øst,østkant,32,5,46290
2013,Grorud,ytre øst,østkant,17,1,26888
2013,Grünerløkka,indre øst,østkant,34,5,50506
2013,Nordre Aker,ytre vest,vestkant,18,2,48413
2013,Nordstrand,ytre vest,vestkant,25,7,48347
2013,Sagene,indre øst,østkant,29,2,37053
2013,St. Hanshaugen,indre vest,vestkant,25,3,34982
2013,Stovner,ytre øst,østkant,19,0,30752
2013,Søndre Nordstrand,ytre øst,østkant,14,1,36659
2013,Ullern,ytre vest,vestkant,20,1,31443
2013,Vestre Aker,ytre vest,vestkant,31,4,45715
2013,Østensjø,ytre øst,østkant,21,0,47806
2013,NA,NA,NA,54,4,NA
2015,Alna,ytre øst,østkant,47,10,48770
2015,Bjerke,ytre øst,østkant,26,1,30502
2015,Frogner,indre vest,vestkant,57,8,55965
2015,Gamle Oslo,indre øst,østkant,80,10,49853
2015,Grorud,ytre øst,østkant,28,3,27283
2015,Grünerløkka,indre øst,østkant,61,6,54701
2015,Nordre Aker,ytre vest,vestkant,38,3,49337
2015,Nordstrand,ytre vest,vestkant,45,6,49428
2015,Sagene,indre øst,østkant,44,6,39918
2015,St. Hanshaugen,indre vest,vestkant,47,11,36218
2015,Stovner,ytre øst,østkant,28,2,31669
2015,Søndre Nordstrand,ytre øst,østkant,37,4,37913
2015,Ullern,ytre vest,vestkant,31,5,32124
2015,Vestre Aker,ytre vest,vestkant,47,10,47024
2015,Østensjø,ytre øst,østkant,43,8,49133
2017,Alna,ytre øst,østkant,25,3,49282
2017,Bjerke,ytre øst,østkant,10,3,31510
2017,Frogner,indre vest,vestkant,31,5,57551
2017,Gamle Oslo,indre øst,østkant,47,5,53241
2017,Grorud,ytre øst,østkant,7,1,27566
2017,Grünerløkka,indre øst,østkant,39,6,57567
2017,Nordre Aker,ytre vest,vestkant,17,0,50224
2017,Nordstrand,ytre vest,vestkant,19,5,50645
2017,Sagene,indre øst,østkant,33,4,42442
2017,St. Hanshaugen,indre vest,vestkant,32,4,37849
2017,Stovner,ytre øst,østkant,20,0,32527
2017,Søndre Nordstrand,ytre øst,østkant,24,2,38672
2017,Ullern,ytre vest,vestkant,17,3,33257
2017,Vestre Aker,ytre vest,vestkant,28,6,48229
2017,Østensjø,ytre øst,østkant,29,1,49973
2017,NA,NA,NA,66,8,NA
2019,Alna,ytre øst,østkant,47,8,49457
2019,Bjerke,ytre øst,østkant,29,1,32500
2019,Frogner,indre vest,vestkant,59,9,58897
2019,Gamle Oslo,indre øst,østkant,103,12,55683
2019,Grorud,ytre øst,østkant,26,4,27583
2019,Grünerløkka,indre øst,østkant,88,10,60844
2019,Nordre Aker,ytre vest,vestkant,53,4,51558
2019,Nordstrand,ytre vest,vestkant,48,7,51882
2019,Sagene,indre øst,østkant,47,8,43801
2019,St. Hanshaugen,indre vest,vestkant,59,9,38400
2019,Stovner,ytre øst,østkant,29,2,32909
2019,Søndre Nordstrand,ytre øst,østkant,41,4,38803
2019,Ullern,ytre vest,vestkant,34,5,33760
