ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put
2021,Vestre Aker,ytre vest,vestkant,30,5
2021,Østensjø,ytre øst,østkant,31,4
2021,NA,NA,NA,105,9
2023,Alna,ytre øst,østkant,41,5
2023,Bjerke,ytre øst,østkant,32,1
2023,Frogner,indre vest,vestkant,80,5
2023,Gamle Oslo,indre øst,østkant,85,15
2023,Grorud,ytre øst,østkant,46,3
2023,Grünerløkka,indre øst,østkant,84,11
2023,Nordre Aker,ytre vest,vestkant,54,5
2023,Nordstrand,ytre vest,vestkant,69,11
2023,Sagene,indre øst,østkant,49,10
2023,St. Hanshaugen,indre vest,vestkant,67,10
2023,Stovner,ytre øst,østkant,43,3
2023,Søndre Nordstrand,ytre øst,østkant,59,4
2023,Ullern,ytre vest,vestkant,46,1
2023,Vestre Aker,ytre vest,vestkant,53,5
2023,Østensjø,ytre øst,østkant,63,8
2025,Alna,ytre øst,østkant,34,1
2025,Bjerke,ytre øst,østkant,12,1
2025,Frogner,indre vest,vestkant,37,5
2025,Gamle Oslo,indre øst,østkant,49,8
2025,Grorud,ytre øst,østkant,18,0
2025,Grünerløkka,indre øst,østkant,31,7
2025,Nordre Aker,ytre vest,vestkant,37,5
2025,Nordstrand,ytre vest,vestkant,25,4
2025,Sagene,indre øst,østkant,19,2
2025,St. Hanshaugen,indre vest,vestkant,24,2
2025,Stovner,ytre øst,østkant,18,2
2025,Søndre Nordstrand,ytre øst,østkant,29,2
2025,Ullern,ytre vest,vestkant,24,1
2025,Vestre Aker,ytre vest,vestkant,31,6
2025,Østensjø,ytre øst,østkant,24,5
2025,NA,NA,NA,84,8
